quote,name,text
Hollowing out a baguette,Hugh Dennis,"""Hollowing out a baguette"" was something that Hugh Dennis narrated himself as doing, during the Transfer the water from fishbowl A to fishbowl B task.
"
Friendship is truth,Lolly Adefope,"""Friendship is truth"" was a statement made by Lolly Adefope during the Choreograph a dance for you and Alex to perform to any of the following ringtones task.
"
Meat,Greg Davies,"""Meat"" was what Greg Davies suggested that his and Alex's fictional company exported, as they roleplayed what people's reactions might be to the contestants' attempts at the Throw something into something task.
"
Spatchcock it,Greg Davies,"""Spatchcock it!"" was an exclamation by Greg Davies, in response to Hugh Dennis' attempt at the Get this camel through the smallest gap task.
"
No stars for naughty boys,Greg Davies,"""No stars for naughty boys"" was how Greg Davies declined Alex Horne's request for a star, after the Get this wheelie bin across the finish line task.
"
Tony Three Pies,Noel Fielding,"""Tony Three Pies"" was the nickname devised for Noel Fielding by Greg Davies, after Noel's success in the Strike one of these objects the furthest distance with one of the other objects task.
"
Dignity intact,Aisling Bea,"""Dignity intact"" is something that Aisling Bea uttered, while stood on a dock in her underpants, at the end of the Get Alex onto dry land as elegantly as possible task.
"
The leprechaun or the lesbian,Alex Horne,"""The leprechaun or the lesbian"" was something Alex Horne said, when asking Greg to choose the winner of the Paint the best rainbow scene task.
"
Phoenix,Alex Horne,"""Phoenix"" was a word uttered by Alex Horne during the Play table tennis with words task.
"
Residue around the hoof,Bob Mortimer,"""Residue around the hoof"" was a phrase used by Bob Mortimer, when describing how long it takes to make Marmite from a cow, after his attempt at the Make marmite task.
"
A wind-dried puffin,Bob Mortimer,"""A wind-dried puffin"" was a phrase uttered by Bob Mortimer as part of a question to the Finnish people on stage during the Find the Finns task.
"
Spoony Neeson,Aisling Bea,"""Spoony Neeson"" was a character created by Aisling Bea for her attempt at the With this camera strapped to your head, record the most incredible footage task.
"
Boing boing,Sally Phillips,"""Boing boing"" was a phrase uttered several times in a French accent by Sally Phillips during the Make a funny little flick-book film task.
"
Their water's so delicious,Bob Mortimer,"""Their water’s so delicious"" was something that Bob Mortimer said about the urine of a certain Scottish population during the Create the best graph task.
"
The old soft curved padlock,Greg Davies,"""The old soft curved padlock"" was how Greg Davies responded to Alice Levine mistaking a banana for a padlock in the Sort the objects under the table in order of size task.
"
Tarpeters,Liza Tarbuck,"""Tarpeters"" was an item that Liza Tarbuck thought might be useful during the Keep Alex dry task.
"
One warm prawn,Asim Chaudhry,"""One warm prawn"" was a phrase used by Asim Chaudhry during the Work out the flavours of these baby foods task.
"
BMXing!,Liza Tarbuck,"""BMXing!"" was an exclamation by Liza Tarbuck while she rode a BMX during the Have the most fun task.
"
H,Asim Chaudhry,"""H"" was a letter uttered an incredible number of times by Asim Chaudhry as he failed to help his team solve the Find the link then do it exactly 100 times task.
"
We met at mealtimes,Tim Vine,"""We met at mealtimes"" was Tim Vine's explanation of how well he knew the character ""Sarge"" from his performance in the Make the best parachute for this wooden spoon task.
"
Roadkill doused in syrup,Alice Levine,"""Roadkill doused in syrup"" was how Alice Levine described one of the objects in the box, in the Draw a picture of the contents of this box task.
"
What kind of pictures?,Liza Tarbuck,"""What kind of pictures?"" was how Liza Tarbuck responded to Alex's question about whether he'd be able to find any pictures of her wearing purple, in the Find out what you have in common with this person task.
"
The Bubble Brothers,Alex Horne,"""The Bubble Brothers"" was how Alex Horne referred to Asim Chaudhry and Tim Vine during the Make the biggest bubble and burst it with your nose task.
"
He was a different man,Liza Tarbuck,"""He was a different man"" was how Liza Tarbuck described Alex, post cake-sitting, in the Tell the Taskmaster you love him in the most meaningful way task.
"
The mean bean,Greg Davies,"Failure to take a ""mean bean measurement"" was what Greg Davies attributed Rhod Gilbert's inaccurate estimate to, in the Work out the circumference of the caravan in baked beans task.
"
My eyes are circles,James Acaster,"""My eyes are circles"" was uttered by James Acaster, in a desperate last attempt to save his attempt at the Draw the biggest and best circle task.
"
Twelve blush majesty two,Greg Davies,"""Twelve blush majesty two"" was part of Greg Davies' misinterpretation of Phil Wang's mouthed fact during the Write down a ten-word fact task.
"
Lotta soup,Phil Wang,"""Lotta soup"" was part of a punchline used by Phil Wang, in the Cheer up this former traffic warden task.
"
A coquettish fascinator,Greg Davies,"""A little coquettish fascinator"" was how Greg Davies described the silver bowl that Kerry Godliman had put on her portrait of him, during the Put exactly 50 different things in this bin task.
"
The perfect stuff,James Acaster,"""The perfect stuff"" was how James Acaster described the contents of the garage which Rhod Gilbert had shut, during the Make the best extension to the Taskmaster House task.
"
Mother honks her horn,Greg Davies,"""Mother honks her horn"" was a phrase used by Greg Davies to describe Phil Wang's trumpet playing during the Compose the best 30 second piece of music task.
"
The pendulum draws the eye,Greg Davies,"""The pendulum draws the eye"" was a phrased used by Greg Davies to describe Phil Wang's hypnotic crotch bulge in the Hula task.
"
I can hear it gooping,James Acaster,"""I can hear it gooping"" was an exclamation made by James Acaster during the Find the boiled egg task.
"
Hello,Paul Sinha,"""Hello"" was yelled into a baby monitor dozens of times by Paul Sinha, during the Find the receiver of this baby monitor task.
"
A novel about Russian Gulags,Greg Davies,"""A novel about Russian Gulags"" was where Greg Davies said he expected to hear comments like that made by Joe Thomas, at the end of his attempt at the Travel the furthest distance while making a constant noise with your mouth task.
"
Stuck in a mammal groove,Greg Davies,"""Stuck in a mammal groove"" was how Greg Davies described Joe Thomas' difficulties during the Work out what Alex Horne is wearing next door task.
"
The barrel dad,Greg Davies,"""The barrel dad"" was how Greg Davies described Paul Sinha's role during the Put the most weight in the hammock task.
"
Stay humble,Joe Thomas,"""Stay humble"" was Joe Thomas' advice for people handling birthday candles, during the Make the most realistic injury using food task.
"
Rock 'n' roll umlaut,Joe Thomas,"""Rock ‘n’ roll umlaut"" was a phrase used by Joe Thomas to describe his team's choice of band name character decoration, in the Design the most iconic album cover task.
"
This is Trevor,Sian Gibson,"""This is Trevor"" was how Sian Gibson introduced a stuffed toy guinea pig, in the Do the most powerful thing with your little finger task.
"
Aquatic sewing machine,Greg Davies,"""Aquatic sewing machine"" was a phrase used by Greg Davies to describe how a horny male dolphin might go at him, if he was to take Lou Sanders' prize in the Nicest thing to hold task.
"
I've been a bit ill,Joe Thomas,"""I’ve been a bit ill"" was Joe Thomas' excuse for walking so gingerly, in the Make yourselves look like one person task.
"
Clumpy swayey clumsy man,Greg Davies,"""Clumpy swayey clumsy man"" was how Greg Davies described Iain Stirling in the Make yourself some tremendous pretend legs task.
"
Join our cult,Katy Wix,"""Join our cult"" was something that Katy Wix and her four cult sisters urged Alex Horne to do during the Make the most dramatic entrance task.
"
Butter in the microwave,David Baddiel,"""Butter in the microwave"" was a phrase uttered by David Baddiel, when answering questions about his team's performance in the Say the word demeaning task.
"
Five miles per day,Alex Horne,"""Five miles per day"" was how fast Alex Horne said David Baddiel was travelling during the Build the most robust statue of the most delicate thing task.
"
